	file	artist	title	lyrics
1984	TRAGSZA128F146A11A.h5	Bryan Ferry	Don't Worry Baby (1999 Digital Remaster)	"Well it's been building up inside me for
I don't know how long
I don't know why
But I keep thinking
Something's bound to go wrong
But she looks in my eyes
And makes me realise
When she says ""Don't worry baby""
Don't worry baby
Everything will turn out all right
Don't worry baby
Each morning I awake to find the sunlight
Softly shining on her hair
And then I realise I'm wrong in thinking
That she really doesn't care
There's magic in her eyes
That makes me come alive
When she says ""Don't worry baby""
Don't worry baby
Everything will turn out alright
Don't worry baby
She tells me ""Baby when you leave today just
Take along my love with you
And if you knew how much I loved you baby
Nothing could go wrong for you""
What she does to me
When she makes love to me
And she says ""Don't worry baby""
Everything will turn out alright
Don't worry baby"
1985	TRAGTDM12903CE2E9D.h5	Maysa	Ouça	"Ouça, vá viver
Sua vida com outro bem
Hoje eu já cansei
De pra você não ser ninguém

O passado não foi o bastante
Pra lhe convencer
Que o futuro seria bem grande
Só eu e você

Quando a lembrança
Com você for morar
E bem baixinho
De saudade você chorar

Vai lembrar que um dia existiu
Um alguém que só carinho pediu
E você fez questão de não dar
Fez questão de negar

Quando a lembrança
Com você for morar
E bem baixinho
De saudade você chorar

Vai lembrar que um dia existiu
Um alguém que só carinho pediu
E você fez questão de não dar
Fez questão de negar"
1986	TRAGTFI12903CA06E7.h5	BLEED THE SKY	Kettle Black	"Nobody told me it would go this far
Fucking taking everything in sight
You are the blister that never heals
I wasn't always this green and naive
It takes years to develop
This lie you believe
Slowly work my better half
Still just as worthless as fighting death

It's all because of you
My Body's bruised
It's all because of you

Some people never learn their lesson
Lives run by the slut obsession
I guess that what I get
I didn't see it coming
The pot calls the kettle black

It's all because of you
My Body's bruised
It's all because of you
It's all because of you
My Body's bruised
It's all because of you

Heartless
My own faults are owned
Regrets
No fear lives alone
Revenge
Water from a stone
Endless
No cure to disown
In my finest hour
on this southbound quest for power
This fork in the road is reoccurring
Going into battle with no vision blurring

It's all because of you
My Body's bruised
It's all because of you"
1989	TRAGTNK128F14732E1.h5	Sasha	Turn It Into Something Special (Svengali's remix für Elisa)	"There's a voice inside our soul
Calling out so we don't fall
Nothing's lost that can't be found
Ain't a thing you can't get 'round

Turn it into something good
There's a chance you really could
Turn it into something special
When you see it's time to choose
Gonna find you'll never lose
Turn it into something special

When your calm is broken too
And you don't know what to do
Hold your fire and look above
Take the flame don't put it out

Turn it into something good
There's a chance you really could
Turn it into something special
When you see it's time to choose
Gonna find you'll never lose
Turn it into something special

Just believe in something new
We all have our part to do
Turn it into something special
And you'd still be standing strong
Hold your crown and carry on
Turn it into something special

When you know right from the start
Gonna play it from the heart
Take a chance and make things better
Leave the fears and doubts behind
Don't give in just keep on tryin'
Turn it into something special

Mmmmm.. mmmmm.... uuuuuu...

Turn it into something good
There's a chance you really could
Turn it into something special
When you see it's time to choose
Gonna find you'll never lose
Turn it into something special

Turn it into something new
We all have our part to do
take a chance and make it special
And you'd still be standing strong
Hold your crown and carry on
Turn it into something...

Just believe in something
Naa naa naa na na naa..
Just believe in something, yea yea..
Naa naa naa na na naa..
We gotta carry on, we gotta carry on and on..
Naa naa naa na na naa..
Oo oo oo ooooo..
You gotta believe in something
Naa naa naa na na naa...
Oo oo ooo...na na naa.."
1994	TRAGTXE128F4229231.h5	Hurricane	I'm On To You	"I'm not one
To give advice
But girl you're in trouble
And you'd better think twice
You're holding up your hands
With diamonds on your rings
Is it love or money
That makes you do these things

I say na, na, na, na, na, na
I'm on to you
Na, na, na, na, na, na
I won't be a fool
Can't you see how hard I try
To keep you satisfied
Na, na, na, na, na, na

You can play with your money
But you can't play with love
The company you keep
You put yourself above
What I wanna know is
What you want with me
You've got my attention
But not my sympathy

I say na, na, na, na, na, na
I'm on to you
Na, na, na, na, na, na
I won't be a fool
I don't wanna hear your lies
Being victimized
Na, na, na, na, na, na

Oh!

I said na, na, na, na, na, na
I'm on to you
Na, na, na, na, na, na
I won't be a fool
Can't you see how hard I try
To keep you satisfied
Na, na, na, na, na, na

Stand back
It won't be love we are fighting for
If you close the door
I don't wanna hear your lies
I'm being victimized
Na, na, na, na, na, na

You can play with your money
You can't play with love
That company you keep
You put yourself above
What I wanna know is
What you want with me
You've got my attention
But not my sympathy

Na, na, na, na, na, na
Na, na, na, na, na, na
Na, na, na, na, na, na
Na, na, na, na, na, na

Na, na, na, na, na, na
I'm on to you
Na, na, na, na, na, na
I'm never gonna be your fool
Na, na, na, na, na, na
I'm on to you
Na, na, na, na, na, na
Oh!"
1998	TRAGUJK128F42A75C3.h5	Mötley Crüe	Wild Side	"Kneel down ye sinners to
Streetwise religion
Greed's been crowned the new King
Hollywood dream teens
Yesterday's trash queens
Save the blessings for the final ring
Amen!

Take a ride on the wild side
Wild side

I carry my crucifix
Under my deathlist
Forward my mail to me in hell
Liars and the martyrs
Lost faith in The Father
Long lost in the wishing well
Hu!

Take a ride on the wild side
Wild side

Fallen angels so fast to kill
Thy kingdom come on the wild side
Our father who ain't in heaven
Be thy name on the wild side
Holy Mary, mother may I
Pray for us on the wild side
Wild side
Wild side

Name dropping no-names
Glamorize cocaine
Puppets with strings of gold
East L.A. at midnight
Papa won't be home tonight
Found dead with his best friend's wife

Take a ride on the wild side
Wild side

Take a ride on the wild side
Wild side

Gang fights, fatal strikes
We lie on the wild side
No escape, murder, rape
Doin' time on the wild side
A baby cries, a cop dies
A day's pay on the wild side
Wild side
Wild side
Tragic life on the wild side
Wild side
Wild side
Kickin' ass on the wild side"
2001	TRAGUNG128F92F67B3.h5	Wayne Watson	Somebody Sing	"The best is yet to come
Still this is not all bad
Everyday there's something to be thankful for
A reason to be glad

You are not along
And here's something else
Jesus lived and dies and He rose again
To overcome death and hell

Somebody sing?everybody breathe Him in
Somebody sing?everybody say amen

So you've have a bad day
How long has this been goin' on
You can't count 'em using all your fingers, all your toes
Well maybe that's too long

It's okay to feel bad
It's not a spiritual crime
You just don't want to live your whole life long in sorrow
The clock is tickin' ?it's time

Somebody sing?everybody breathe Him in
Somebody sing?everybody say amen

I might be the best at looking at the worst
But one of these days I will be free
Living in this blessing as one who was cursed
Well He's still chippin' away
And I'm still growin'
And He's still working on me

Somebody sing?everybody breathe Him in
Somebody sing?everybody"
2006	TRAGVAO128F4289B5D.h5	Mobb Deep	Up North Trip	"Verse One: Prodigy

It all began on the street, to the back of a blue police vehicle
Next come the bookends, the way things is looking
It's Friday, you in for a long stay, gettin shackled on the bus
First thing come Monday, hoping in your mind you'll be released one day
But knowing, home is a place you're not going for a long while
Now you're up on the isle, in a position that you ain't got to, refusing
to smile
But keep in mind there's a brighter day, after your time spent
Used to be wild, but locked up, you can't get bent
Thought you could hack it, now you're requesting Pee, see you fragile
It ain't hard to see, niggas like that don't associate with me
I'd rather, get busy to the third degree
cause the war populations are
If this was the street, my razor would be a mack demon
Hit you up, leave your whole face screaming, what you in for kid
Busting nuts, taps heard of million street stories caught inside this trap
Who are you to look at me with your eyes like that
Wising up young blood, before you make things escalate, and I would hate
To set your crooked ass straight

Chorus 

Make your moves at night, pack your heat in this warzone, niggas is trife
Runnin from one time, ain't no time to slip, make one false move
And it's a up north trip
Livin the high life, make your moves at night, pack your heat in this warzone
Niggas is trife, runnin from one time, ain't no time to slip, make one
false move And it's a up north trip

Verse Two: Havoc

You tried to dip, duck, but still got bucked, you talk too much shit
You should have kept your mouth shut, all that gossip
Motherfucker don't you know my glock kicks, hollow tips
To your body, mad toxic, I fade you, blow you with a rusty-ass razor
Did you a favor, tried to wet you but i grazed you
Pop goes the glock when there's beef on the block, chill for a while
Make them think the beef stop, then I creep like a thief in the night
It's only right, ain't no turnin back, it's on tonight, and if I get caught
Then my ass is up north, straight on the course for upstate New York
Stress, smokin back to back cigaretttes, it popped off, gon' point in
the mess hall
But to avoid that, from head to toe, dipped in all black, hit them niggas
Where they pump they cracks at, Havoc, with the murder masterplan
Keep my nine up to par, so my shit won't jam, God forbid if my shit do
Run behind a tree, fix my shit then hit you, slugs in your body
Mainly in your brain tissue, witness from the scene, get ghost, stash
the pistol
So simple then, watch my back, lay up and relax, roll a sack, ?K-A black?
Find a shorty intact

Chorus

Verse Three: Prodigy

I got the powder, combine wit the powder, and water, it oughtta
Drop in a half and hour, in the, form of oil, watch the cocaine boil
Keep my eye on it so the shit won't spoil, then I pause
And ask God why, did he put me on the serve, just so I could die
I sit back and build on, all the things I did wrong, why I'm still breathing
And all my friends gone, I try not to dwell on the subject for a while
Cause I might get stuck in this corrupt lifestyle, but my
Heart pumps foul blood through my arteries, and I can't turn it back
It's a part of me, too late for cryin, I'm a grown man struggling
To reach the next level of life, without fumbling, down to folding
I got no shoulder to lean on but my own, all alone in this danger zone
Time waits for no man, the streets grow worse, fuck the whole world kid
My money comes first, cause I'm out for the gusto, and trust nobody
If you're not family, then you die by me, cause niggas will have you
locked up
The snitch, be a man, givin police the run down on your plans
We're never goin down like that, so I, shut my mouth and hold my words back
The legal business, forever mine, fuck payin taxes, the last kid that shitted

And gave police access, to my blueprints, used names as evidence
Skipped town and I haven't seen the snitch nigga ever since
The moral of the story is easy to figure out, a lesson that you can't
live without

Repeat Chorus once
*Livin the high life"
2013	TRAGVKL128F427E896.h5	Pearl Jam	4/20/2002	"So all you fools
Who sing just like him
Feel free to do so now
Cuz he's dead

Using, using, using
The using takes toll
Isolation
Just so happy to be one
Sad to, sad to think
Sad to think of him more

Lonesome friend, we all knew
Always hoped you'd pull through

No blame, no blame
No blame, it could be you
Using, you can't grow old using

So sing just like him, fuckers
It won't offend him
Just me
Because he's dead"
2014	TRAGVMH128F14ADF05.h5	Petra	Don't Let Your Heart Be Hardened (This Means War Album Version)	"Words and music by Bob Hartman 
Based on Psalm 95:7-8, Hebrews 3:13

(Chorus) 
Don't let your heart be hardened - don't let your love grow cold 
May it always stay so childlike - may it never grow too old 
Don't let your heart be hardened - may you always know the cure 
Keep it broken before Jesus, keep it thankful, meek, and pure 

May it always feel compassion - may it beat as one with God's 
May it never be contrary - may it never be at odds 
May it always be forgiving - may it never know conceit 
May it always be encouraged - may it never know defeat 

May your heart be always open - never satisfied with right 
May your heat be filled with courage and strengthened with all might 

Let His love rain down upon you 
Breaking up your fallow ground 
Let it lossen all the binding 
Till only tenderness is found"
2018	TRAGVRL128F4264526.h5	Teena Marie	How Can You Resist It	"He had brunet hair with blond streaks
A different kind of fellow, so very unique
Sitting on the road in New Orleans

He ate fillet gumbo, I think I ordered steak
I looked into his eyes and said
For heaven's sakes, listen to me
I got what you need

I don't know what to do anymore
I've shown him all of my love and more
I don't know what to do anymore
I've shown him all of my love and more
I don't know what to do anymore
I've shown him all of my love and more

And I said stay by my side, got your ticket to ride
And he blushed at my verbal logistics
And he shied but he came as he asked me my name
And I said I am love and how can you resist it?

How can you resist it, now that you kissed it?
How can you resist it, if you go, I know you're gonna miss it?

Poetry in motion but it don't pay no dues
And me, I'm always playing my rhythm and blues
Sitting on the road, Bourbon Street

I got country cousins they got a steely knife
But he doesn't want to settle down for the rest of his life
So I'll just keep it cutting

I don't know what to do anymore
I've shown him all of my love and more
And I don't know what to do anymore
I've shown him all of my love and more
I don't know what to do anymore
I've shown him all of my love and more

And I said stay by my side, got your ticket to ride
And he blushed at my verbal logistics
And he shied but he came, as he asked me my name
And I said I am love and how can you resist it?

How can you resist it, now that you've kissed it?
How can you resist it? If you go, I know you're gonna miss it
How can you resist it? Yeah, after all you told me that you wished it
How can you resist it, baby, now that you've kissed it?
How can you resist it, yeah, now that you've kissed it?"
2019	TRAGVTG128F92FE9E2.h5	Jerry Butler	He Will Break Your Heart	"He don't love you like I love you
If he did, he wouldn't break your heart
He don't love you like I love you
He's tryin' to tear us apart

Fare thee well, I know you're leavin' (I know you're leavin')
For the new love that you've found
The handsome guy that you've been dating, whoa
I got a feelin' he's gonna put you down, 'cause

He don't love you like I love you
If he did, he wouldn't break your heart
He don't love you like I love you
He's tryin' to tear us apart

He uses all the great quotations
Says the things I wish I could say
Whoa, but he's had so many rehearsals
Girl, to him it's just another play
But wait
When the final act is over
And you're left standing all alone
When he takes his bow and makes his exit
Girl, I'll be there to take you home

He don't love you (and he never will) like I love you
If he did, he wouldn't break your heart
Oh, he don't love you, girl, like I love you
He's tryin' to tear us apart

Whoa, he don't love you"
2021	TRAGWDA128F1473193.h5	Sasha	Do It To Me	"Turn around - could you be
The one and only love for me
Don't be cruel - cold as ice
Every word is true , I tell no lies

Oh everybody is looking at you
Here I am got something special for you
Don't you wait for a sign from above
So come on baby let me show you love

Do it to me
Do it to me
Do it to me
Do it to me

Can't you see - you're the one
And you know our time has just begun
Take my world on a bed
I'm a kind of god who patience dead

Oh yeah and you're away afraid of falling in love
What you need I got it for you and its more than enough
This is your chance , so take it right away
You better listen what I got to say

Do it to me
Do it to me
Do it to me
Do it to me

Every body is looking at you
Here I am got something special for you
Don't you wait for a sign from above
So come on baby let me show you love

Do it to me
Do it to me
Do it to me
Do it to me
Do it to me
Do it to me
Do it to me
Do it to me
Do it to me"
2025	TRAGWKV128F92C316A.h5	Avril Lavigne	How Does It Feel	"I'm not afraid of anything 
I just need to know that I can breathe 
I don't need much of anything 
But suddenly, suddenly 
I am small and the world is big 
All around me is fast moving 
Surrounded by so many things 
Suddenly, suddenly 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

I am young and I am free 
But I get tired and I get weak 
I get lost and I can't sleep 
But suddenly, suddenly 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

Would you comfort me? 
Would you cry with me? 

I am small and the world is big 
But I am not afraid of anything 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

How does it feel, how does it feel 
You're different from me, different"
2026	TRAGWMO12903CFD994.h5	Evergreen Terrace	Look Up At The Stars And You're Gone	"man's fall a cause for my hatred
it turns to rage and is repressed inside
to hide inside
to strike me blind with my anger stricken with rage
but in me a passion dwells to give all that i have
i can no longer hide this hate for the world
i can no longer hide this hate for what you have done
you take your broken path but never expect me to follow
i'll take your tired lies and shove them all back down your throat"
2029	TRAGWTT128F148CF2C.h5	Sister Hazel	Cerilene	"On final approach my brother and I, we were so sure
Knew exactly the plans we'de made and what we were here for
Didn? have a care in the world, got by day by day
Struggled with the plans we'de made who was I anyway 

Workin?on both night and day, in a famous rock and roll cafe
Never thought I'd meet a girl for me
Never thought I'd meet a girl called Cerilene 

Cerilene, the road of life is dark without you and I, I just can't see
Cerilene, share my life with me
We'll go together hand in hand and we'll fulfill our dreams 

Walked along the beach there hand in hand, it felt like a dream
But things that felt so good were never real or so it seemed
The magic that this girl possessed
Changed the heart of a child to a man (to a man)
Through the warmth of love his dreams and drive had direction again 

A girl who strongly believes in me, and visions that we both could see
As one of my dreams, it came to an end
My life and love felt whole again

(Chorus) 

I've grown to love this family, my friends
And this woman that I've found
Just as much as the family I left in a small, small Southern town
On a day the island breezes brought my loved ones here with me
We made our families one, I love you, oh I love you Cerilene 

Cerilene, the road of life is dark without you and I, I just can't see
Cerilene, share my life with me
We'll go together hand in hand and we?l fulfill our dreams
Cerilene, share my life with me, on this island oh, fulfill my dreams
Cerilene, oh Cerilene
Cerilene, (share my life, share my life with me)
Oh Cerilene"
2033	TRAGXBL128F149EBA2.h5	Crabby Appleton	Go Back	"You don't hold me so well and it's not hard to tell
When you know in your heart that it's wrong
'Cause your thoughts are not here and you're making it clear
That the one you love is gone

I can't tell you how to live your life
No, I can't tell you what to do
But you know, yes you know
That it's true

I think you better go back, go back to your lover 
Oh, go back, he's the one you really love
Go back, go back to your man 
I said go back, he's the one you're thinkin' of
Go back, go back to your man 
I said go back girl as fast as you can
Go back!

Now you look good to me, still I can't help but see
You've been thinking of him all the time
And you know it's not right when you kiss me tonight
You pretend his lips are mine 

I can't tell you how to live your life
No, I can't tell you what to do
But you know, yes you know
That it's true

I think you better go back, go back to your lover 
Oh, go back, he's the one you really love
Go back, go back to your man
I said go back, he's the one you're thinking of

Go back, go back to your man
I said go back girl as fast as you can
Go back!  
Go back!
Go back, go back to your lover oh go back
Go back, go back to your man
I said go back
Go back, go back to your man
Go back girl as fast as you can
Go back!"
2035	TRAGXBP128F42311F4.h5	Remi Nicole	Rock N Roll	"They said ""you're not normal, 
Why don't you sing R&amp;B?"" 
I say ""I've got no rhythm and I got no blues, 
I'm as happy as can be"" 
They said ""how can you not 
Bop to hip hop?"" 
I said ""I most certainly do, 
Did you not see me dancing the other night 
Like the girls on Channel U?"" 

Yeah 
I can wind down low 
Be like the girls in the videos 
But for me that's much too slow 
Because I prefer rock and roll 
I say, yeah 
I can wind down low 
Dance like the girls in the videos 
But for me that's a no-no 
'Cause I prefer rock and roll 

They say ""why d'ya wear a shirt and tie? 
Now that's a bit bizarre"" 
I said I like to look good when I go on stage 
Strumming my guitar 
I like to sing my songs about real life things 
Like good times and romance 
And I prefer to do it in my skinny jeans 
Than miniscule hot pants 
('cause this baby got no back) 

Yeah 
I can wind down low 
Be like the girls in the videos 
But for me that's much too slow 
Because I prefer rock and roll 
I say, yeah 
I can wind down low 
Dance like the girls in the videos 
But for me that's a no-no 
'Cause I prefer rock and roll 

Why can't people just let me be? 
I'm only putting out what comes best to me 
Some people get their kicks from other things 
But I get mine from wood and strings 

Yeah 
I can wind down low 
Be like the girls in the videos 
But for me that's much too slow 
Because I prefer rock and roll 
I say, yeah 
I can wind down low 
Dance like the girls in the videos 
But for me that's a no-no 
'Cause I prefer rock and roll 

Yeah 
I can wind down low 
Be like the girls in the videos 
But for me that's much too slow 
Because I prefer rock and roll 
I say, yeah 
I can wind down low 
Dance like the girls in the videos 
But for me that's a no-no 
'Cause I prefer rock and roll"
2040	TRAGXNU128F932C7D8.h5	Junior Jack	E Samba (Accapella)	"Essa negra sem sandalia e samba,
essa negra sem sandalia e samba
essa negra sem sandalia e samba
essa negra sem sandalia e samba

Essa negra sem sandalia e samba
essa negra sem sandalia e samba
essa negra sem sandalia e samba
essa negra sem sandalia e samba"
2041	TRAGXUZ128F9311745.h5	Johnny Cash	You Tell Me	"Tell me why she left me I'll tell you why I cried
Tell you why I stayed around tell me why she lied
I'll tell why my heart's broken tell me why she said goodbye
Tell me why she left me I'll tell you why I cried
You tell me then I'll tell you
I'll tell you why I loved her tell me why she said goodbye
Tell me why she left me I'll tell you why I cried

Tell me why I'm lonely I'll tell you why I'm alone
Tell you why I stayed around tell me why she's gone
I'll tell why my heart's broken tell me why she was untrue
Tell me why she left me and I'll tell you why I'm blue
You tell me then I'll tell you"
2042	TRAGYBS128F4227AD5.h5	Lil Boosie	I Remember (amended album version)	"I remember nigga
Boosie Bad Azz
I remember nigga
I remember nigga

Now I remember everythin' from them cold night on the block
I remember the struggle, I remember the shine
I remember they faces when they saw me shine
Nigga I remember everythin', I remember nigga

Outside with no shirt, I remember nigga
Talked loud in that church, I remember nigga
Nigga stole all my work, I remember nigga
Kirby took my lick in court, I remember nigga

Them plantation days, do you remember that?
The good times that we had in big digem lac
Do you remember Debra Proch when it was hot and steamin'?
Do you remember when we moved shop down there by leman?

Do you remember at the room hoes caughtin' semen?
Do you remember I busted two with the green eye demon?
Yeah, nigga I remember cross the tracks
When Capt. Ricks and Kenny Wayne had a gang of that crack

Man, I remember all that when E-40 was jammin'
Everybody play B's and D's listenin' to that Dayton family
I remember Daddy-O when he put me on syrup
Remember Junior was fourteen workin' with a quarter bird nigga

Them long nights on the block, I remember nigga
Went from a little to a lot, I remember nigga
And in this world with no dreams, I remember nigga
Gone off X and codeine, I remember nigga

Them long nights on the block, I remember nigga
Went from a little to a lot, I remember nigga
And in this world with no dreams, I remember nigga
Gone off X and codeine, I remember nigga

When daddy left this world, I remember nigga
That nights I made them lil' girls, I remember nigga
Grandpa preachin' at church, I remember nigga
Grucen gave me my first work, I remember nigga

Me and Big Chris on the block, I remember nigga
Walk in the school with a knot, I remember nigga
Remember nobody ain't like us, I remember nigga
When I set it off with Titus, I remember nigga

Seventeen I was a donkey, killin' my own people

Servin' my own uncles, gave life to Ttrell, I remember nigga
When he touch down I caused hell, I remember nigga
My first fifty block of weed, I remember nigga

I remember nineteen, I remember nigga
When I first meet Tee and Mel, I remember nigga
When y'all got me out of jail, I remember nigga
Yeah, I remember nigga

Them long nights on the block, I remember nigga
Went from a little to a lot, I remember nigga
And in this world with no dreams, I remember nigga
Gone off X and codeine, I remember nigga

Them long nights on the block, I remember nigga
Went from a little to a lot, I remember nigga
And in this world with no dreams, I remember nigga
Gone off X and codeine, I remember nigga

First time I rode clean, I remember nigga
Got my heart broke at fourteen, I remember nigga
Remember the first nigga I robbed, I remember
I remember them tears cried, I remember they killed I

I remember them pills I used to pop that had a nigga frenzy
Same niggas I used to pop with now they envy
Cousins frenzy I'm on some flossed out shit
I go to Emmy when I wanna floss my wrist

Remember daddy used to hit momma when times was hard
But it never showed on her boys 'cause her boys was spoiled, nigga
Remember my beamer, my magnum and my forty five
Remember my silver STS with the fresh ties

My old school Monte Carlo nigga, candy black
Remember my Ram Truck, my old school Cadillac
Remember my Benz that was black but I wet it silver
Remember my orange and black race car with them, dance nigga

I remember everythin', I remember
I remember nigga
I remember everythin', I remember
I remember nigga

I remember everythin', I remember
I remember nigga
I remember everythin', I remember
I remember nigga
Like it was yesterday


I remember nigga
Boosie Bad Azz
I remember nigga"
2043	TRAGYDZ12903D0957F.h5	Candlebox	Lover Come Back To Me	"D'you ever see yourself in my eyes?
Did you ever think that maybe I'd be lost without you?
D'you ever think that I was alright
You knew it all along

D'ya ever try to sing to my songs?
Did you ever take a walk is wasn't walking with you, yea?
Did you love me just to be loved?
I knew it all along, I didn't try.

Sometimes I like to be alone.
Sometimes I try to telephone...

Lover, come back to me,
Lover, come back to me,
In your arms is where I need to be
I am alone
I am alone
A raging sea.

I want to taste your bronze skin's delights.
Did you ever want to be the sun that browns me?
D'ya ever think that I might decide?
To ask you to stay, baby put up a fight.

Sometimes I like to be alone.
Sometimes I try to telephone...

Lover, you
Lover, come back to me,
Lover, come back to me,
'Cause in your arms is where I need to be.
I'm alone
I am alone
Raging sea, yea

Lover you
Lover, come back to me
Lover, come back to me, yea
Lover, come back to me , yea
In your arms is where I need to be
I am alone
I am alone
in this raging sea, yea"
2045	TRAGYJM128EF3466D2.h5	Dinosaur Jr.	Been There All The Time	"Can I fix it and still care?
Can I run and you'll be there?
Wishin' I could run and hide
Jugglin' messages inside
Stallin' trying to buy more time
Can I be a part of you?
How to get there what to do?
Can I get there from inside?
With all the ways I could have tried
Can I be there all the time?

Is it all me?

Can I feel another way?
Can I bring it out to stay?
Can you capture what I've done?
Play it back so I don't run?
And now I'm walkin' on your sun

Is it all me?

Let's not lie
Take me ???
With a smile
Been there all the time"
2047	TRAGYLX128F427C5EC.h5	Wilshire	When	"Oh, you've seen it all and more
Words are just words
And you've heard them before

You feel you can't go on this way
It's hard to recognize the stranger
In your mirror

Ooh, you're jaded beyond your years
And you've come undone
Waiting for the sun, oh yeah

And when a friend cannot be found
When the world just wants to drag you down
Like a slow weight tumbling to the ground, hold on

Oh, it's too much to bear
Look around, look around, tears are falling everywhere
At the end of the day we all feel the same, oh yeah

And when a friend cannot be found
When the world just wants to drag you down
Like a slow weight tumbling to the ground, hold on

When you're sure you've had all you can take
When you feel your heart begin to break
When it's easier to throw it all away, hold on

Oh yeah, and when a friend cannot be found
When the world just wants to drag you down
Like a slow weight tumbling to the ground, hold on

When you're sure you've had all you can take
When you feel your heart begin to break
When it's easier to throw it all away, hold on, oh yeah, oh"
2053	TRAGYXL128F92F9FCB.h5	Cowboy Mouth	Disconnected	"Have you ever felt a thunder inside your heart
Holding on to all the shit that's gonna tear you apart
If you can't free yourself there ain't no brand new start
So you gotta let go

I once had a friend who lived in an eastern town
He moved back home and called and started hanging around
But every time I tried to talk to him he'd put me down
So I gotta let go

Nobody knows who you are
Nobody cares who you are
Nobody knows why you feel
Disconnected. (Disconnected)
Disconnected.

Maybe it's the way I'm told I ought to look and feel
Maybe it's because my mind is so easy to steal
That I'm living in a world where nothing here is really real
So I gotta let go

How do I get the fuck out of this place? (How do I get the fuck out of this place?)
How when I look in the mirror do I not see my face? (How when I look in the mirror do I not see my face?)
Can I turn in my membership card to the human race
'Cause I gotta let go

Nobody knows who you are (Nobody knows who you are)
Nobody cares who you are (Nobody cares who you are)
Nobody knows why you feel
Disconnected. (Disconnected)
Disconnected. (Disconnected)

When I feel like I'm slowly going out of my head
When I'm battling the moments when I wish I was dead
When my mind and body feel like fire and stone
And I know I'm gonna spend all my life alone

That's when I need to cover up my heart and soul
I only gain perspective when I lose control
Is it better to be crying when you feel insane
Or laughing out loud dancing naked in the rain

Have you ever felt a thunder deep inside your heart
Lettin' go of all the shit that's gonna tear you apart

Nobody knows who you are (Nobody knows who you are)
Nobody cares who you are
Nobody knows why you feel
Disconnected. (Disconnected)
Disconnected.

Disconnected (Disconnected)
Disconnected (Disconnected)
Disconnected (Disconnected)
Disconnected (Disconnected)
Disconnected (Disconnected)
Disconnected (Disconnected)"
2055	TRAGZCW128EF34B85B.h5	Krystof	Ostravaczech	"Já vím, pravda nakonec prý zvít?zí
I pánb?h prý v??í dál ve sn? páp??í 
Já vím, jak je šedivým dn?m plonkovým
A páskám cílovým, místním vládám stínovým 

Odsud Praha je dál
A nebe výš, blíž Zlín, Krom??íž 
Praha je dál, jen v týví ?ím, Pa?íž 
Baník je král, Stodolní déjà-vu
Praha je dál, než vím

Já vím, všichni dostanem své více ne 
Sv?j p?íd?l p?íko?í a hloubku svých mo?í 
Já vím, všechny obzory jsou vzdálené, 
Ale pánb?h dál v??í ve snu páp??í 

Praha je dál
A nebe výš blíž Zlín, Krom??íž
Praha je dál, jen v týví ?ím Pa?íž
Baník je král, Stodolní déjà-vu
Praha je dál, než sama vím

Já vím, sudi?ky jsou tady zvrácené 
A všechno je to past
A b?h je Radegast

Praha je dál 
A nebe výš, blíž Zlín, Krom??íž 
Praha je dál, jen v týví ?ím, Pa?íž 
Baník je král, Stodolní déjà-vu 
Praha je dál…"
2062	TRAGZOK128F14ADF45.h5	Petra	Angel Of Light (Never Say Die Album Version)	"City lights are flashing, they call you to the streets
Hearts are filled with passion in everyone you meet
The Boulevard is waiting, it wants to get you high
Neon signs are waiting to sell you anything you want to buy
But I know your devices, it shouldn't seem so odd
You lied from the beginning, I see through your facade

(Chorus)
Angel of light, I see you glow in the night
But you only bring darkness to my soul
Angel of light, You're telling me wrong is right
I won't let you're evil take control

They follow in your footsteps not knowing that you fell
Bumper to bumper on the freeway to hell
You lead them into wrong and you make it look so right
You lead them into darkness and make them think you lead them into light
But I know where you're going, too bad you're not alone
If it wasn't for the real light I might have never known

Angel of light, I see you glow in the night
But you only bring darkness to my soul
Angel of light, You're telling me wrong is right
I won't let you're evil take control

You got the clergy working overtime to widen the narrow way
You've got politicians everywhere listening to what you say
You've got false apostles teaching lies perverting the only way
You've got principalities and powers waiting to obey
You've got philosophies and vain deceits lying to deceive
You've got hate, and greed, ungodly lusts in the deadly web you weave
Somehow you've got so many thinking you're not even there
One look is all it takes to get them blinded by your glare

Angel of light, I see you glow in the night
But you only bring darkness to my soul
Angel of light, You're telling me wrong is right
I won't let you're evil take control"
2063	TRAGZQD128F428E68B.h5	Plasmatics	Dream Lover	"every night i hope and pray
a dreamlover will come my way
someone to hold in my arms
feel the magic of their charms

cause i want someone to call my own
i want a dreamlover so i don't have to dream alone

dreamlover where are you
with a love, a love so true
and a hand i can hold
be with you as i grow old

(chorus)

someday i don't know how
i hope you'll hear my plea
someway i don't know how
you'll give your love to me

dreamlover, until then
i'll go to sleep and dream again
that's the only thing to do
till all my dreams come true

(chorus)

I want a...dreamlover...so i don't have to dream...alone"
